symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,exchange_
01109,2020Q4_1696285,华润置地,2020,HKSE,房地产,10410,-,房地产开发,10410010,190522477000,-10.72,4.11,HK$32.05,房地产,104,0.07,4828000,19931880,1.32,10000.0,4828000,1.32,1.32,1.0,38.55,30.5,34.1,-6.01,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696285,,,,,,,,,,,,,,HKSE
02388,2020Q4_1696284,中银香港,2020,HKSE,银行,10320,-,区域性银行,10320020,226157434000,-2.23,12.24,HK$25.65,金融服务,103,0.06,6188000,18760710,1.24,10000.0,6188000,1.24,1.24,1.0,25.45,20.3,22.71,12.95,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696284,,,,,,,,,,,,,,HKSE
002690,2020Q4_1696275,美亚光电,2015,SZSE,工业制品,31070,-,特种工业机械,31070020,35370548000,23.26,21.0,¥51.34,工业,310,0.32,2140307,14486490,0.96,10000.0,2140307,0.96,0.96,1.0,52.0,42.34,47.59,7.88,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696275,安徽省合肥市高新区望江西路668号,光电子应用技术开发、转让、软件设计，光电机械(含农业机械、工业机械、光电子应用设备)、6830医用X射线设备制造与销售，二类(含医用X射线附属设备及部件，口腔科设备及器具，软件)、三类(口腔科材料)医疗器械销售，自营和代理各种商品和技术的进出口业务(国家法律法规禁止的商品和技术除外)。,田明,合肥市,公司是一家专注于光电识别核心技术与产品研发的高新技术企业。公司产品人工智能色选机、X射线检测设备和高端医疗设备等产品，广泛应用于全球农产品加工、工业检测及医疗卫生等领域，市场占有率多年保持世界领先。公司已经建成了覆盖全球的营销网络，产品和服务覆盖全国所有省市和地区，并在东南亚、中亚、中东、北美、南美、西欧、东欧、非洲等地区为多个国家提供高品质的光电识别解决方案。公司以科技创新为发展源动力，集聚了全国一批优秀的光电识别科研团队，建有国家认定企业技术中心、国家农产品智能分选装备工程技术研究中心、国家博士后科研工作站等国家级创新平台，多次承担国家重大科学仪器设备开发专项、国家863计划、国家火炬计划等重大科研项目，主持制定多项国家、行业标准。公司荣获国家创新型企业、国家技术创新示范企业、国家规划布局内重点软件企业、国家火炬计划重点高新技术企业、全国工业品牌培育示范企业等称号。,mygd@chinameyer.com,"主要产品:按产品应用领域划分,发行人产品可以分为食品检测与分级专用设备,工业检测与分级专用设备两大类;按产品技术原理划分,发行人产品可分为可见光检测与分级专用设备,X射线检测与分级专用设备两大类.可见光检测与分级专用设备主要包括各类色选机,X射线检测与分级专用设备则包括食品X射线检测机,工业X射线检测机和X射线轮胎检测设备.主营业务:光电检测与分级专用设备及其应用软件的研发,生产和销售.",田明,安徽,67600.0,程晓宏,20000303,www.chinameyer.com,SZSE
09987,2020Q4_1696306,百胜中国,0,HKSE,餐饮,10270,-,餐饮,10270010,176670951000,8.96,14.29,HK$508.00,周期性消费,102,0.05,227600,13054880,0.87,10000.0,227600,0.87,0.87,1.0,471.8,387.8,429.68,18.23,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696306,,,,,,,,,,,,,,HKSE
00316,2020Q4_1696300,东方海外国际,2020,HKSE,交通运输,31080,-,水上运输,31080040,77008161000,45.26,100.74,HK$143.80,工业,310,0.2,1290000,12898000,0.86,10000.0,1290000,0.86,0.86,1.0,77.5,32.9,50.08,187.14,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696300,,,,,,,,,,,,,,HKSE
09992,2020Q4_1696301,泡泡玛特,0,HKSE,旅游和娱乐,10290,-,娱乐,10290020,79770796000,11.51,-15.65,HK$70.10,周期性消费,102,0.09,1207200,12669740,0.84,10000.0,1207200,0.84,0.84,1.0,89.6,69.0,79.3,-11.6,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696301,,,,,,,,,,,,,,HKSE
HTHT,2020Q4_1696313,华住集团,2020,NAS,旅游和娱乐,10290,-,寄宿,10290030,107808678000,-7.42,14.41,$51.52,周期性消费,102,0.08,270520,12181520,0.81,10000.0,270520,0.81,0.81,1.0,53.56,32.99,42.4,21.51,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696313,,,,,,,,,,,,,,
603986,2020Q4_1696273,兆易创新,2018,SHSE,半导体,31130,-,半导体,31130020,112222733000,34.69,23.5,¥167.55,科技,311,0.08,557904,12030350,0.8,10000.0,557904,0.8,0.8,1.4,174.34,120.51,147.93,13.26,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696273,北京市海淀区丰豪东路9号院中关村集成电路设计园8号楼,微电子产品、计算机软硬件、计算机系统集成、电信设备、手持移动终端的研发；委托加工生产、销售自行研发的产品；技术转让、技术服务；货物进出口、技术进出口、代理进出口。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。),何卫,北京市,公司成立于2005年4月，是一家以中国为总部的全球化芯片设计公司。公司致力于各类存储器、控制器及周边产品的设计研发，已通过SGS ISO9001及ISO14001等管理体系的认证，在上海、合肥、中国香港设有全资子公司、在深圳设有分公司，在中国台湾地区设有办事处，并在韩国、美国、日本等地通过产品分销商为客户提供优质便捷的本地化服务。公司核心管理团队由来自世界各地的高级管理人员组成，每一位都曾在硅谷、韩国、台湾等各地著名IC企业工作多年，有着丰富的研发及管理经验。公司产品为NOR Flash、NAND Flash及MCU，广泛应用于手持移动终端、消费类电子产品、个人电脑及周边、网络、电信设备、医疗设备、办公设备、汽车电子及工业控制设备等各个领域。公司先后被评为“重大科技成果产业化突出贡献单位”、“创新型试点企业”。,investor@gigadevice.com,"公司主营业务为闪存芯片及其衍生产品的研发,技术支持和销售.公司的主要产品为闪存芯片,具体为串行的代码型闪存芯片.",何卫,北京,66415.51,李红,20050406,www.gigadevice.com,SHSE
002311,2020Q4_1696274,海大集团,2018,SZSE,农副加工食品,20525,-,加工食品,20525040,121968743000,-2.07,13.66,¥71.85,非周期性消费,205,0.05,840130,8411380,0.56,10000.0,840130,0.56,0.56,1.0,66.07,55.96,60.48,18.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696274,广东省广州市番禺区南村镇万博四路42号海大大厦2座701,饲料、添加剂的生产和技术开发、技术服务，畜牧、水产品的养殖、加工和技术开发、技术服务；以上产品及饲料原料、农副产品的批发、佣金代理(拍卖除外)及进出口业务(涉及配额许可证管理、专项规定管理的商品按照国家有关规定办理)，粮食收购。,薛华,广州市,公司是一家集研发、生产和销售水产饲料、畜禽饲料和水产饲料预混料以及健康养殖为主营业务的高科技型上市公司，核心业务是水产饲料、水产苗种和动保产品。公司已经实现了在全国重点水产养殖区域的生产和销售。公司资金充足，银行信誉评级为AAA级。集团积极倡导绿色健康养殖，所属分子公司均通过了ISO9000、HACCP认证。多年来，公司先后获得“中国名牌”、“广东省著名商标”、“广东省名牌产品”等殊荣，海大集团被认定为“农业产业化国家重点龙头企业”、“国家农产品加工技术研发专业分中心”、“高新技术企业”等。,zqbgs@haid.com.cn,"水产预混料,水产配合饲料和畜禽配合饲料的研发,生产和销售.",薛华,广东,166116.11,黄志健,20040108,www.haid.com.cn,SZSE
2458,2020Q4_1696307,義隆,2016,TPE,半导体,31130,-,半导体,31130020,13309001000,-4.59,47.94,NT$197.50,科技,311,0.44,1293000,6145960,0.41,10000.0,1293000,0.41,0.41,1.0,157.5,127.5,141.23,39.84,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696307,,,,,,,,,,,,,,
002050,2020Q4_1696278,三花智控,2018,SZSE,工业制品,31070,-,特种工业机械,31070020,78849521000,4.34,-8.36,¥21.63,工业,310,0.03,1053813,3970640,0.26,10000.0,1053813,0.26,0.26,1.0,26.8,21.56,23.89,-9.46,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696278,浙江省绍兴市新昌县梅渚镇沃西大道219号三花工业园区办公大楼,制冷设备、自动控制元件，压力管道元件，机电液压控制泵及其他机电液压控制元器件生产(限分支机构经营)、销售，承接制冷配件产品的对外检测、试验及分析服务，从事进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),张亚波,绍兴市,公司是一家全球领先的生产和研发制冷空调控件元件和零部件的厂商。在汽车、电器和空调行业中，通过与全球著名企业的合作紧密，三花已成为世界领先的OEM供应商，提供高品质且最具竞争力的商品。三花牌制冷自控元器件已成为世界知名品牌之一，公司已成为松下、大金、三菱、东芝、日立、富士通、LG、三星、开利、特灵、约克、格力、美的、海尔等世界著名制冷、空调主机厂的战略供方和合作伙伴。公司参与并在某些领域主导制冷空调类产品有关的技术标准的讨论和制定，利用市场规模和技术领先的优势推向全世界，使三花“产品技术化、技术专利化、专利标准化、标准全球化”，以高标准构建制冷空调自控元器件产业发展新平台。,shc@zjshc.com,"主要产品:截止阀,电子膨胀阀,电磁阀.",王大勇,浙江,359160.15,胡凯程,19940910,www.zjshc.com,SZSE
09666,2020Q4_1696283,金科服务,0,HKSE,房地产,10410,-,房地产服务,10410020,34503244000,4.11,3.7,HK$63.20,房地产,104,0.07,431800,3476150,0.23,10000.0,431800,0.23,0.23,1.0,62.3,44.0,52.71,19.9,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696283,,,,,,,,,,,,,,HKSE
300012,2020Q4_1696271,华测检测,2015,SZSE,商业服务,31020,-,咨询服务,31020020,50207021000,-0.7,11.42,¥29.53,工业,310,0.04,709672,2969010,0.2,10000.0,709672,0.2,0.2,1.0,27.67,23.68,26.03,13.45,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696271,广东省深圳市宝安区新安街道留仙三路4号华测检测大楼,实验室检测/校准(取得合格证后方可经营)，检查，检验，货物查验，技术服务。,万峰,深圳市,公司是一家全国性、综合性的独立第三方检测服务机构，主要从事工业品、消费品、生命科学以及贸易保障领域的技术检测服务。在国内拥有数十家分支机构组成的业务网络，拥有化学、生物、物理、机械、电磁等领域的多个实验室，取得了CMA计量认证与CNAS国家合格评定委员会实验室认可资格和检查机构认可资格，并依据ISO17025、ISO17020进行管理。公司具备向社会独立出具公正数据的资质，检测数据具有较高的市场公信力，检测报告得到包括美国、英国、德国、法国、意大利、日本、韩国、中国台湾和中国香港地区在内的共42个国家和地区的认可。公司为中国制造业产品创新、产业升级提供公共技术服务平台，为中国乃至世界各地的产品质量、安全、环保、健康、节能等提供监督和支持。,security@cti-cert.com,"公司主要从事贸易保障,消费品,工业品以及生命科学领域的技术检测服务.",申屠献忠,广东,167116.92,陈砚,20031223,www.cti-cert.com,SZSE
4958,2020Q4_1696312,臻鼎-KY,2017,TPE,半导体,31130,-,半导体,31130020,23488012000,2.75,-1.75,NT$107.50,科技,311,0.57,5429000,22036100,1.46,168.5,3407000,0.92,0.92,1.0,146.5,113.0,127.34,-15.58,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 168.50 %,2020Q4_1696312,,,,,,,,,,,,,,
000858,2020Q4_1696277,五粮液,2015,SZSE,酒精饮料,20510,-,其他酒类,20510020,1080262730000,10.79,-2.89,¥277.52,非周期性消费,205,0.04,1591593,71002100,4.71,72.94,671298,1.99,1.99,1.0,291.85,188.73,238.44,16.39,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 72.94 %,2020Q4_1696277,四川省宜宾市翠屏区岷江西路150号,主营：酒类产品及相关辅助产品(瓶盖、商标、标识及包装制品)的生产经营；兼营：饮料、药品、水果种植、农业种植、进出口业务、物业管理、投资管理等。,曾从钦,宜宾市,公司是以五粮液及其系列酒的生产、销售为主要产业，同时生产经营精密塑胶制品、大中小高精尖注射和冲压模具现代制造产业，以及生物工程为发展产业，药业工业、印刷业、电子器件产业、物流运输和相关的服务业的具有深厚企业文化的现代化企业集团。公司现已系统研制开发了五粮春、五粮神、五粮醇等几十种不同档次、不同口味，满足不同区域、不同文化背景、不同层次消费者需求的系列产品。数年来“五粮液”品牌连续在中国白酒制造业和食品行业“最有价值品牌”中排位居前，具有领导市场的影响力。目前公司根据消费者的个性化需求，进一步细分、微分市场，新设计开发国宝五粮液、人民大会堂国宴五粮液等，丰富和完善产品线，加快新产品开发步伐，有效地支持了公司经营业绩持续增长。,000858-wly@sohu.com;lixinyi@wuliangye.com.cn,主要产品:五粮液系列酒.,,四川,388160.8,彭智辅,19980421,www.wuliangye.com.cn,SZSE
TAL,2020Q4_1696316,好未来,0,NYSE,教育,20540,-,教育培训服务,20540010,91478371000,-61.62,-69.32,$21.94,非周期性消费,205,0.06,398767,28515830,1.89,32.74,98352,0.47,0.47,1.0,82.02,66.34,73.81,-70.28,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 32.74 %,2020Q4_1696316,,,,,,,,,,,,,,
2330,2020Q4_1696309,台积电,2020,TPE,半导体,31130,-,半导体,31130020,3681319054000,-0.4,16.79,NT$614.00,科技,311,0.02,5721000,107958770,7.16,1.92,108000,0.14,0.14,1.0,530.0,322.0,445.25,37.9,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 1.92 %,2020Q4_1696309,,,,,,,,,,,,,,
600519,2020Q4_1696276,贵州茅台,2014,SHSE,酒精饮料,20510,-,其他酒类,20510020,2488180637000,0.08,0.97,¥1955.90,非周期性消费,205,0.02,274817,83930260,5.56,0.0,0,0.0,0.0,1.0,1998.0,1541.79,1721.71,13.6,2020-12-31T05:00:00Z,{3_not_change},-,2020Q4_1696276,贵州省仁怀市茅台镇,茅台酒系列产品的生产与销售；饮料、食品、包装材料的生产、销售；防伪技术开发、信息产业相关产品的研制、开发；酒店经营管理、住宿、餐饮、娱乐、洗浴及停车场管理服务(具体内容以工商核定登记为准)。,高卫东,遵义市,公司是国内白酒行业的标志性企业，主要生产销售世界三大名酒之一的茅台酒，同时进行饮料、食品、包装材料的生产和销售，防伪技术开发，信息产业相关产品的研制开发。茅台酒历史悠久，源远流长，是酱香型白酒的典型代表，享有“国酒”的美称。目前，公司茅台酒年生产量已突破一万吨，43°、38°、33°茅台酒拓展了茅台酒家族低度酒的发展空间，茅台王子酒、茅台迎宾酒满足了中低档消费者的需求，15年、30年、50年、80年陈年茅台酒填补了我国极品酒、年份酒、陈年老窖的空白，在国内独创年代梯级式的产品开发模式。公司产品形成了低度、高中低档、极品三大系列70多个规格品种，全方位跻身市场，从而占据了白酒市场制高点，称雄于中国极品酒市场。,mtdm@moutaichina.com,"主要产品:高度茅台酒(含陈年茅台酒),低度茅台酒.",李静仁,贵州,125619.78,刘刚,19991120,www.moutaichina.com,SHSE
00807,2020Q4_1696302,上海实业环境,2019,HKSE,工业制品,31070,-,环境治理,31070040,2537928000,-4.04,19.25,HK$1.20,工业,310,8.7,224154980,29786310,1.97,0.0,0,0.0,0.0,1.0,1.3,1.03,1.12,7.14,2020-12-31T05:00:00Z,{3_not_change},-,2020Q4_1696302,,,,,,,,,,,,,,HKSE
00590,2020Q4_1696295,六福集团,2017,HKSE,零售,10280,-,奢侈品,10280040,13077267000,24.58,40.63,HK$26.30,周期性消费,102,1.61,9426000,22740510,1.51,0.0,0,0.0,0.0,1.0,20.8,15.5,18.23,44.27,2020-12-31T05:00:00Z,{3_not_change},-,2020Q4_1696295,,,,,,,,,,,,,,HKSE
03613,2020Q4_1696288,同仁堂国药,2014,HKSE,医疗机构和服务,20645,-,医药零售,20645020,8516218000,3.03,50.43,HK$12.04,医疗保健,206,1.87,15615000,16418390,1.09,0.0,0,0.0,0.0,1.0,11.16,7.8,8.91,35.13,2020-12-31T05:00:00Z,{3_not_change},-,2020Q4_1696288,,,,,,,,,,,,,,HKSE
03908,2020Q4_1696279,中金公司,0,HKSE,资本市场,10330,-,资本市场,10330010,203333552000,11.32,0.08,HK$21.75,金融服务,103,0.12,6002000,16260970,1.08,0.0,0,0.0,0.0,1.0,21.0,16.46,18.37,18.4,2020-12-31T05:00:00Z,{3_not_change},-,2020Q4_1696279,北京市朝阳区建国门外大街1号国贸大厦2座27层及28层,一、人民币特种股票、人民币普通股票、境外发行股票，境内外政府债券、公司债券和企业债券的经纪业务；二、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的自营业务；三、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的承销业务；四、基金的发起和管理；五、企业重组、收购与合并顾问；六、项目融资顾问；七、投资顾问及其他顾问业务；八、外汇买卖；九、境外企业、境内外商投资企业的外汇资产管理；十、同业拆借；十一、客户资产管理。十二、网上证券委托业务；十三、融资融券业务；十四、代销金融产品；十五、证券投资基金代销；十六、为期货公司提供中间介绍业务；十七、证券投资基金托管业务；十八、经金融监管机构批准的其他业务。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),沈如军,北京市,"公司是由国内外著名金融机构和公司基于战略合作关系共同投资组建的中国第一家中外合资投资银行。公司自1995年成立以来，一直致力于为客户提供高质量金融增值服务，业务范围覆盖宏观经济、证券和市场研究、股权与债务发行与承销、兼并收购财务顾问、股本销售交易、固定收益、自营投资、资产管理、财富管理、直接投资、证券投资咨询等诸多领域。公司总部设在北京，在境内设有多家子公司，在上海和深圳设有分公司，在北京、上海、深圳等多个城市设有证券营业部。公司亦积极开拓海外市场，随着业务范围的不断拓展，已在中国香港、纽约、伦敦和新加坡设有子公司,在品牌、客户、业务布局、人才、专业能力、运营管理等方面建立了独特的竞争优势，并在业内获得广泛认可。公司在《亚洲金融》《机构投资者》《亚洲货币》等知名媒体评选中屡获“中国最佳投资银行”、“最佳销售服务团队”、“最具影响力研究机构”等殊荣。同时，公司始终坚持依法合规经营，重视风险管理，建立了良好的规范运作和内部控制机制。自2007年中国证监会推出证券公司分类监管起的13年中，公司有12年获得证券公司被授予过的最高评级A类AA级评级，是累计获得A类AA级评级次数最多的证券公司。",investorrelations@cicc.com.cn,"主要业务包括投资银行业务,销售交易业务,自营投资业务,财富管理业务,资产管理业务,直接投资业务,研究平台,国际业务等.",黄朝晖,北京,482725.69,孙男,19950731,www.cicc.com,HKSE
00839,2020Q4_1696289,中教控股,2019,HKSE,教育,20540,-,教育培训服务,20540010,31254698000,9.14,13.01,HK$16.14,非周期性消费,205,0.58,13076000,25203250,1.67,-1.48,-196000,-0.03,0.03,1.0,16.8,12.24,14.36,12.4,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 1.48 %,2020Q4_1696289,,,,,,,,,,,,,,HKSE
01569,2020Q4_1696297,民生教育,0,HKSE,教育,20540,-,教育培训服务,20540010,4564192000,-9.15,14.16,HK$1.28,非周期性消费,205,3.18,134180000,19561280,1.3,-3.51,-4886000,-0.06,0.06,1.0,1.28,0.98,1.12,14.29,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 3.51 %,2020Q4_1696297,,,,,,,,,,,,,,HKSE
03968,2020Q4_1696280,招商银行,2009,HKSE,银行,10320,-,区域性银行,10320020,1288776519000,11.81,35.45,HK$64.55,金融服务,103,0.04,11341000,71693290,4.75,-7.1,-866500,-0.35,0.35,1.0,51.3,35.75,41.93,53.95,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 7.10 %,2020Q4_1696280,广东省深圳市福田区深南大道7088号,吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经国务院银行业监督管理机构批准的其他业务。,缪建民,深圳市,公司是中国境内第一家完全由企业法人持股的股份制商业银行、国家从体制外推动银行业改革的第一家试点银行，也是一家拥有商业银行、金融租赁、基金管理、人寿保险、境外投行等金融牌照的银行集团。近年来，公司聚焦移动优先策略，拥抱金融科技(Fintech)，率先推出闪电贷、刷脸取款、“一闪通”支付等创新服务，招商银行手机银行、掌上生活两大App已成行业翘楚，月活量均稳居金融行业前十。经过多年创新发展，招商银行部分业务领域已成为国内商业银行的标杆，连续多年获得境内外权威媒体评选的“中国最佳零售银行”“中国最佳私人银行”“中国最佳交易银行”等殊荣。,cmb@cmbchina.com,"主要业务:贷款拆借,存放同业业务债券投资.",田惠宇,广东,2521984.56,王良,19870331,www.cmbchina.com,HKSE
00700,2020Q4_1696304,腾讯控股,2008,HKSE,交互式媒体,30830,-,互联网和相关服务,30830010,4515614527000,-8.61,0.11,HK$568.00,通信服务,308,0.01,1372000,99830740,6.62,-9.22,-139300,-0.79,0.79,1.0,625.0,502.0,550.05,3.26,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 9.22 %,2020Q4_1696304,,,,,,,,,,,,,,HKSE
