symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
00939,2021Q1_548957,北京市西城区金融大街25号,吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经国务院银行业监督管理机构等监管部门批准的其他业务。,田国立,北京市,公司成立于1954年10月，是一家国内领先、国际知名的大型股份制商业银行，总部设在北京。公司与众多支撑和引领中国经济发展的优质企业和大量高端客户保持密切合作关系；在中国香港、新加坡、法兰克福、约翰内斯堡、开普敦、东京、大阪、首尔、纽约、胡志明市、悉尼、墨尔本、布里斯班、中国台北、卢森堡、中国澳门、多伦多、巴黎、阿姆斯特丹、巴塞罗那、米兰、伦敦、苏黎世和迪拜设有海外分行，拥有建行亚洲、建银国际、建行伦敦、建行俄罗斯、建行迪拜、建行欧洲、建行新西兰、建行巴西、建信基金、建信租赁、建信信托、建信人寿、建信期货、建信养老金、中德住房储蓄银行等多家子公司。公司秉承“以客户为中心、以市场为导向”的经营理念，加快向综合性银行集团、多功能服务、集约化发展、创新银行、智慧银行五个方向转型，通过加快产品、渠道和服务模式的创新，为客户提供优质的综合金融服务，多项核心经营指标居于市场领先地位。,ir@ccb.com,主营业务:中长期贷款及短期贷款.,王江,北京,25001097.75,胡昌苗,20040917,www.ccb.com,建设银行,2016,HKSE,HKSE,银行,10320,-,多元化银行,10320010,1176766831000,-8.14,1.37,HK$5.60,金融服务,103,0.04,108095660,91115630.0,5.44,297.25,80885000,4.07,4.07,1.0,6.68,5.75,6.23,-10.11,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 297.25 %,2021Q1_548957
300285,2021Q1_548976,山东省东营市东营区辽河路24号,生产、销售特种陶瓷粉体材料及制品（不含危险品），对销售后的产品进行技术服务；进出口贸易。（以上经营事项涉及法律法规规定需报批的，凭批准证书经营）,张曦,东营市,公司是一家专业从事新材料领域，集研发、生产、销售为一体的高新技术企业。公司产品涵盖电子陶瓷介电材料、结构陶瓷材料(纳米复合氧化锆和氧化铝等)、建筑陶瓷材料(陶瓷墨水、釉料)、电子金属浆料(银浆、铝浆、铜浆、镍浆等)、催化材料(蜂窝陶瓷、分子筛、铈锆固溶体等)等。产品主要应用在电子信息和通讯、生物医药、新能源汽车、建筑材料、汽车及工业催化、太阳能光伏、航空航天等现代高科技领域。公司承建了“山东省电子陶瓷材料工程技术研究中心”和“山东省电子陶瓷材料工程试验室”、“山东省企业技术中心”三大科研平台，持续开展技术创新和产品研发，已累计取得多项专利。,sinocera@sinocera.cn;xushaomei@sinocera.cn;zhaohongyan@sinocera.cn,"主营业务为生产,销售高纯度,纳米级钛酸钡基础粉及X7R,X5R,Y5V,C0G等系列MLCC配方粉在内的电子陶瓷粉体材料.主要产品为X7R,X5R,Y5V,C0G等系列MLCC配方粉及高纯纳米钛酸钡基础粉.",张兵,山东,100381.03,许少梅,20050421,www.sinocera.cn,国瓷材料,2020,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,47143391000,7.89,5.76,¥46.56,基础材料,101,0.46,4595866,29909740.0,1.79,173.48,2915344,1.14,1.14,1.0,56.5,38.39,45.82,1.62,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 173.48 %,2021Q1_548976
300832,2021Q1_548987,广东省深圳市坪山区坑梓街道金沙社区锦绣东路23号新产业生物大厦,一般经营项目：医疗器械及配套设备的技术开发、技术转让、技术咨询、生产、经营、技术服务及相关配套业务；试剂、耗材、配件、原辅材料、中间品、半成品的研发、生产、销售、咨询与售后服务；电子产品、仪器仪表、兽用医疗器械、软件的研发、生产、销售、咨询与售后服务；软件和信息技术服务；经营进出口业务；货物的储存运输；自有房屋及资产租赁；物业管理。许可经营项目：医疗器械的生产(按医疗器械生产许可证核定范围生产)，医疗器械的经营(按医疗器械经营许可证核定范围经营)。,饶微,深圳市,公司主要从事研发、生产及销售系列全自动化学发光免疫分析仪器及配套试剂，是国内该领域的领先者。公司产品主要用于提供疾病的预防、诊断、治疗监测、预后观察、健康状态评价以及遗传性疾病预测等方面的诊断信息。公司所处行业为医疗诊断、监护及治疗设备制造业，具体为体外诊断行业。截至2020年3月31日，公司主要有8款全自动化学发光免疫分析仪器1，122项配套试剂2，均已获得医疗器械产品注册证，是国内提供化学发光免疫诊断试剂种类最多的供应商之一。此外，公司亦积极拓展生化分析产品线，截至2020年3月31日，公司拥有4款全自动生化分析仪器，并拥有39项配套试剂，均已获得医疗器械产品注册证。公司仪器型号系列化，能够满足不同用户对仪器测试速度、样本和试剂装载量的需求；配套试剂涵盖甲状腺、性腺、肿瘤标志物、代谢、肝纤维化、传染病等检测项目，能够满足不同用户的检测需求。,snibeinfo@snibe.cn,"主要从事研发,生产及销售系列全自动化学发光免疫分析仪器及配套试剂,公司产品主要用于提供疾病的预防,诊断,治疗监测,预后观察,健康状态评价以及遗传性疾病预测等方面的诊断信息.",饶微,广东,78346.5,张蕾,19951215,www.snibe.com,新产业,0,SZSE,SZSE,医疗器械,20650,-,医疗设备,20650010,44458870000,-12.68,-15.78,¥55.24,医疗保健,206,0.27,2154056,20747720.0,1.24,143.63,1269891,0.73,0.73,1.9,78.83,49.06,64.07,-13.78,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 143.63 %,2021Q1_548987
03669,2021Q1_548969,,,,,,,,,,,,,,永达汽车,0,HKSE,HKSE,汽车和配件,10200,-,汽车经销商,10200010,27547422000,24.94,35.17,HK$16.60,周期性消费,102,0.94,18572000,34001680.0,2.03,101.19,9341000,1.02,1.02,1.0,14.98,10.16,12.01,38.22,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 101.19 %,2021Q1_548969
01233,2021Q1_548978,,,,,,,,,,,,,,时代中国控股,2014,HKSE,HKSE,房地产,10410,-,多元化房地产,10410030,14420054000,-16.7,-10.52,HK$8.70,房地产,104,0.99,19592000,27023960.0,1.61,82.81,8875000,0.73,0.73,1.0,12.26,9.67,10.93,-20.4,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 82.81 %,2021Q1_548978
00884,2021Q1_548964,,,,,,,,,,,,,,旭辉控股集团,2013,HKSE,HKSE,房地产,10410,-,房地产开发,10410010,40314275000,-13.08,-5.5,HK$5.77,房地产,104,0.51,42050000,40917060.0,2.44,80.26,18722000,1.09,1.09,1.0,7.73,6.18,6.98,-17.34,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 80.26 %,2021Q1_548964
600745,2021Q1_548983,浙江省嘉兴市南湖区亚中路777号,一般项目：智能机器人的研发；数字文化创意软件开发；电子专用材料研发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；人工智能基础软件开发；人工智能应用软件开发；软件开发；可穿戴智能设备制造；网络设备制造；通信设备制造；移动通信设备制造；移动终端设备制造；显示器件制造；智能家庭消费设备制造；数字家庭产品制造；智能车载设备制造；计算机软硬件及外围设备制造；电子元器件制造；电子专用材料制造；物业管理；酒店管理；电子产品销售；网络设备销售；智能家庭消费设备销售；软件销售；智能无人飞行器销售；智能车载设备销售；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；物联网设备销售；可穿戴智能设备销售；针纺织品及原料销售；服装服饰批发；服装服饰零售；金属材料销售；建筑材料销售；电子专用材料销售；化工产品销售(不含许可类化工产品)；电子元器件批发；电子元器件零售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：货物进出口(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准),张学政,黄石市,公司是中国领先的移动终端和智能硬件产业生态平台，业务领域涵盖移动终端、智能硬件、笔记本电脑、虚拟现实、车联网、汽车电子等物联网领域的研发设计和智能制造，客户群遍及全球各地，与行业大多数主流品牌保持着深度的合作关系，服务全球170多个国家和地区。公司客户均为华为、荣耀、小米、联想、MOTO、魅族、LG、华硕、360、中国移动等全球主流品牌。公司及下属的研发中心均为国家高新技术企业，坚持产学研相结合的方向，坚持研发先导战略，在全国建立四大研发中心，建有行业领先的研发实验室和测试实验室，具备较强的软件开发、硬件开发、专业测试等研发实力。现在的闻泰科技不仅是手机、VR、车联网、智能硬件、笔记本电脑等产品的研发制造商，更是一个移动智能终端及智能硬件产业平台和管道。以智能终端及物联网产业平台为产业基础，以上市公司为平台，闻泰正在构建庞大的移动终端和智能硬件千亿级产业生态链。,600745mail@wingtech.com,"主要产品:智能终端,虚拟现实,地产和酒店等",张学政,湖北,124493.77,周斌,19930111,www.wingtech.com,闻泰科技,2020,SHSE,SHSE,硬件,31120,-,通讯设备,31120010,118418393000,0.33,-2.66,¥93.29,科技,311,0.13,1637935,24607380.0,1.47,74.49,699228,0.63,0.63,1.0,128.7,94.0,107.05,-12.85,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 74.49 %,2021Q1_548983
03908,2021Q1_548959,北京市朝阳区建国门外大街1号国贸大厦2座27层及28层,一、人民币特种股票、人民币普通股票、境外发行股票，境内外政府债券、公司债券和企业债券的经纪业务；二、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的自营业务；三、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的承销业务；四、基金的发起和管理；五、企业重组、收购与合并顾问；六、项目融资顾问；七、投资顾问及其他顾问业务；八、外汇买卖；九、境外企业、境内外商投资企业的外汇资产管理；十、同业拆借；十一、客户资产管理。十二、网上证券委托业务；十三、融资融券业务；十四、代销金融产品；十五、证券投资基金代销；十六、为期货公司提供中间介绍业务；十七、证券投资基金托管业务；十八、经金融监管机构批准的其他业务。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),沈如军,北京市,"公司是由国内外著名金融机构和公司基于战略合作关系共同投资组建的中国第一家中外合资投资银行。公司自1995年成立以来，一直致力于为客户提供高质量金融增值服务，业务范围覆盖宏观经济、证券和市场研究、股权与债务发行与承销、兼并收购财务顾问、股本销售交易、固定收益、自营投资、资产管理、财富管理、直接投资、证券投资咨询等诸多领域。公司总部设在北京，在境内设有多家子公司，在上海和深圳设有分公司，在北京、上海、深圳等多个城市设有证券营业部。公司亦积极开拓海外市场，随着业务范围的不断拓展，已在中国香港、纽约、伦敦和新加坡设有子公司,在品牌、客户、业务布局、人才、专业能力、运营管理等方面建立了独特的竞争优势，并在业内获得广泛认可。公司在《亚洲金融》《机构投资者》《亚洲货币》等知名媒体评选中屡获“中国最佳投资银行”、“最佳销售服务团队”、“最具影响力研究机构”等殊荣。同时，公司始终坚持依法合规经营，重视风险管理，建立了良好的规范运作和内部控制机制。自2007年中国证监会推出证券公司分类监管起的13年中，公司有12年获得证券公司被授予过的最高评级A类AA级评级，是累计获得A类AA级评级次数最多的证券公司。",investorrelations@cicc.com.cn,"主要业务包括投资银行业务,销售交易业务,自营投资业务,财富管理业务,资产管理业务,直接投资业务,研究平台,国际业务等.",黄朝晖,北京,482725.69,孙男,19950731,www.cicc.com,中金公司,0,HKSE,HKSE,资本市场,10330,-,资本市场,10330010,203333552000,11.32,0.08,HK$21.75,金融服务,103,0.53,25552000,62163560.0,3.71,73.22,10800800,1.57,1.57,1.0,24.45,16.1,19.87,9.46,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 73.22 %,2021Q1_548959
06099,2021Q1_548974,广东省深圳市福田区福田街道福华一路111号,证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品；保险兼业代理；证券投资基金托管；股票期权做市。,霍达,深圳市,公司具有百年历史的招商局集团旗下的证券公司，传承了招商局集团长期积淀的创新精神、市场化管理理念、国际化运营模式及稳健经营的风格，经过多年的发展，已成为国内拥有证券市场业务全牌照的一流券商。公司具有稳定持续的盈利能力、科学合理的风险管理架构、全面专业的服务能力。拥有多层次客户服务渠道，同时在中国香港、新加坡、英国、韩国设有子公司；全资持股招商证券国际有限公司、招商期货有限公司、招商证券资产管理有限公司、招商致远资本投资有限公司，参股博时基金管理公司、招商基金管理公司，构建起国内国际业务一体化的综合证券服务平台。,IR@cmschina.com.cn;luoli@cmschina.com.cn,"证券经纪业务,投资银行业务,资产管理业务,基金管理业务,证券自营业务,境外证券投资管理业务,直接投资业务等",熊剑涛,广东,669940.93,吴慧峰,19930801,www.cmschina.com,招商证券,2019,HKSE,HKSE,资本市场,10330,-,资本市场,10330010,148141606000,10.78,-0.07,HK$11.32,金融服务,103,0.25,22072400,30513620.0,1.82,58.92,8183600,0.67,0.67,1.0,13.82,10.28,11.65,-2.83,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 58.92 %,2021Q1_548974
601318,2021Q1_548965,"广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层",(一)投资保险企业；(二)监督管理控股投资企业的各种国内、国际业务；(三)开展保险资金运用业务；(四)经批准开展国内、国际保险业务；(五)经中国保险监督管理委员会及国家有关部门批准的其他业务。,马明哲,深圳市,公司于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资三大主营业务为一体、核心金融与互联网金融业务并行发展的个人金融生活服务集团之一。公司致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的理念，通过“综合金融+互联网”和“互联网+综合金融”两个模式，聚焦“大金融资产”和“大医疗健康”两大产业，围绕保险、银行、资产管理、互联网金融四大板块，为客户创造“专业，让生活更简单”的品牌体验。公司是国内金融牌照最齐全、业务范围最广泛、控股关系最紧密的个人金融生活服务集团之一。平安集团旗下子公司包括平安寿险、平安产险、平安养老险、平安健康险、平安银行、平安信托、平安证券、平安大华基金等，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,PR@pingan.com.cn;IR@pingan.com.cn,"主营业务:以保险业务为核心,以统一品牌向客户提供包括保险,银行,证券,信托等多元化金融服务",谢永林,广东,1828024.14,盛瑞生,19880321,www.pingan.cn,中国平安,2012,SHSE,SHSE,保险,10340,-,人身保险,10340010,1102420964000,-19.03,-29.43,¥59.70,金融服务,103,0.02,3310747,39805560.0,2.38,48.22,1077001,0.77,0.77,1.0,87.82,76.54,83.03,-28.1,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 48.22 %,2021Q1_548965
03888,2021Q1_548973,,,,,,,,,,,,,,金山软件（二百）,2020,HKSE,HKSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,49870938000,-15.94,-11.99,HK$42.40,通信服务,308,0.34,4617000,30876510.0,1.84,43.3,1395000,0.56,0.56,1.0,78.1,48.4,59.33,-28.54,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 43.30 %,2021Q1_548973
